Dakar;-17.44;14.69;Clouds;broken clouds;stations;25.52;22.26;25;26;1009;57;9000;SN;1582270291;1582312543
Damascus;36.29;33.51;Clouds;scattered clouds;stations;11;6.28;11;11;1014;66;10000;SY;1582258417;1582298628
Dhaka;90.41;23.71;Haze;haze;stations;21;20.75;21;21;1019;68;3500;BD;1582331225;1582372632
Dili;125.57;-8.56;Clouds;overcast clouds;stations;27.19;30.93;27.19;27.19;1011;72;NULL;TL;1582321301;1582365680
Djibouti;42.5;11.5;Clear;clear sky;stations;27;30.33;27;27;1018;78;10000;DJ;1582255759;1582298306
Dodoma;35.74;-6.17;Rain;light rain;stations;21.62;23.45;21.62;21.62;1012;89;NULL;TZ;1582256567;1582300742
Doha;51.53;25.29;Clear;clear sky;stations;19.11;17.54;19;19.44;1017;68;10000;QA;1582254282;1582295449
Douglas;-96.17;41.3;Clear;clear sky;stations;6.76;0.23;6;7.78;1029;45;16093;US;1582290721;1582329900
Dublin;-121.94;37.7;Clear;clear sky;stations;16.53;12.94;13.89;18.33;1020;36;16093;US;1582296638;1582336352
Freetown;-13.23;8.48;Haze;haze;stations;29;31.35;29;29;1007;70;7000;SL;1582268990;1582311823
Gaborone;25.91;-24.65;Clouds;broken clouds;stations;28;26.4;28;28;1016;48;10000;BW;1582257987;1582304040
GeorgeTown;100.34;5.41;Clouds;few clouds;stations;27.07;28.55;26.67;27.78;1013;65;10000;MY;1582327983;1582371108
Georgetown;100.34;5.41;Clouds;few clouds;stations;27.07;28.55;26.67;27.78;1013;65;10000;MY;1582327983;1582371108
Georgetown;100.34;5.41;Clouds;few clouds;stations;27.07;28.55;26.67;27.78;1013;65;10000;MY;1582327983;1582371108
Gibraltar;-5.35;36.14;Clouds;few clouds;stations;15.25;8.78;15;16;1028;77;10000;GI;1582268574;1582308457
Gitega;29.95;-3.5;Rain;moderate rain;stations;18.35;19.68;18.35;18.35;1012;87;NULL;BI;1582258081;1582302007
Gustavia;-62.85;17.9;Clouds;broken clouds;stations;27.64;28.53;27;29;1016;58;10000;BL;1582281340;1582323289
Hamilton;-84.53;39.18;Clear;clear sky;stations;0.67;-4.21;-1.11;2.22;1037;27;16093;US;1582287772;1582327262
Hanoi;105.84;21.02;Fog;fog;stations;17;17.46;17;17;1025;93;800;VN;1582327387;1582369063
Harare;31.05;-17.83;Clouds;broken clouds;stations;19.26;18.39;19.26;19.26;1012;69;NULL;ZW;1582257124;1582302437
Havana;-82.38;23.13;Clouds;broken clouds;stations;26.83;28.2;26.67;27;1019;74;9000;CU;1582286288;1582327715
Helsinki;24.94;60.17;Clouds;broken clouds;stations;3.45;-4.42;2.22;4;1002;86;10000;FI;1582263869;1582298624
Honiara;159.95;-9.43;Clouds;broken clouds;stations;22.55;25.38;22.55;22.55;1008;88;NULL;SB;1582313009;1582357471
Islamabad;73.13;33.71;Clear;clear sky;stations;11.98;10.1;11;12.78;1023;93;7000;PK;1582249595;1582289768
Jakarta;106.85;-6.21;Thunderstorm;thunderstorm with rain;stations;25.36;28.21;25;26.11;1012;88;3000;ID;1582325902;1582370064
Jamestown;-79.24;42.1;Clear;clear sky;stations;-2.03;-9.45;-4;-0.56;1030;53;16093;US;1582286724;1582325772
Jerusalem;35.22;31.77;Rain;light rain;stations;13.55;11.16;8.89;16;1015;67;10000;IL;1582258566;1582298993
Juba;31.58;4.85;Clouds;scattered clouds;stations;32.03;29.88;32.03;32.03;1007;21;NULL;SS;1582258072;1582301234
Kabul;69.42;34.5;Clouds;broken clouds;stations;8;5.49;8;8;1027;52;6000;AF;1582250536;1582290608
Kampala;32.58;0.32;Clouds;few clouds;stations;24;26.68;24;24;1015;83;10000;UG;1582257625;1582301201
Kathmandu;85.32;27.72;Mist;mist;stations;11;10.45;11;11;1027;93;4500;NP;1582332658;1582373641
Khartoum;32.53;15.55;Clouds;scattered clouds;stations;25;19.52;25;25;1015;10;10000;SD;1582258343;1582300507
Kiev;30.52;50.43;Clouds;overcast clouds;stations;1.12;-2.05;0;2.22;1022;70;9000;UA;1582261178;1582298636
Kigali;30.06;-1.95;Clouds;few clouds;stations;21.83;22.3;21.67;22;1019;73;10000;RW;1582258126;1582301910
Kingston;-76.79;18;Clouds;few clouds;stations;28.69;29.24;28.33;29;1015;66;10000;JM;1582284689;1582326631
Kingston;-76.79;18;Clouds;few clouds;stations;28.69;29.24;28.33;29;1015;66;10000;JM;1582284689;1582326631
Kingstown;-61.22;13.16;Clouds;scattered clouds;stations;28;28.86;28;28;1014;65;10000;VC;1582280722;1582323124
Kinshasa;15.32;-4.32;Clouds;scattered clouds;stations;29;33.35;29;29;1006;70;9000;CD;1582261554;1582305556
Libreville;9.45;0.39;Clouds;few clouds;stations;27;32.55;27;27;1007;94;10000;GA;1582263179;1582306749
Lilongwe;33.79;-13.97;Rain;light rain;stations;20.28;23.1;20.28;20.28;1011;95;NULL;MW;1582256661;1582301584
Lima;-77.03;-12.04;Clouds;overcast clouds;stations;29;29.6;29;29;1012;62;10000;PE;1582283357;1582328078
Lisbon;-9.13;38.72;Clouds;scattered clouds;stations;18.78;17.23;16.67;20;1027;55;10000;PT;1582269660;1582309186
Ljubljana;14.51;46.05;Clouds;few clouds;stations;3.84;0.04;1.11;7.22;1026;47;10000;SI;1582264582;1582302917
Lomé;1.21;6.14;Clouds;few clouds;stations;30;33.8;30;30;1007;79;10000;TG;1582265418;1582308464
London;-0.13;51.51;Clouds;broken clouds;stations;9.36;2.37;8.33;10;1021;71;10000;GB;1582268644;1582305882
Luanda;13.23;-8.84;Clouds;scattered clouds;stations;29;30.76;29;29;1006;74;10000;AO;1582261845;1582306269
Lusaka;28.29;-15.41;Clouds;few clouds;stations;23;25.97;23;23;1017;83;10000;ZM;1582257910;1582302975
Luxembourg;5.5;50;Clouds;overcast clouds;stations;4.12;-1.42;2.78;6.11;1027;75;10000;BE;1582267129;1582304694
Madrid;-3.7;40.42;Clear;clear sky;stations;13.62;10.72;11.11;17;1029;35;10000;ES;1582268483;1582307756
Majuro;171.38;7.09;Clouds;broken clouds;stations;28;31.8;28;28;1009;83;24140;MH;1582311012;1582353982
Malabo;8.78;3.75;Clouds;few clouds;stations;29;33.42;29;29;1007;83;8000;GQ;1582263493;1582306756
Malé;73.51;4.17;Rain;moderate rain;stations;28.12;27.76;28.12;28.12;1013;81;NULL;MV;1582247979;1582291202
Managua;-86.25;12.13;Clouds;scattered clouds;stations;32;28.98;32;32;1014;43;10000;NI;1582286679;1582329181
Manama;50.58;26.22;Clear;clear sky;stations;18;17.41;18;18;1017;77;10000;BH;1582254560;1582295626
Manila;120.98;14.6;Clouds;few clouds;stations;23.79;25.88;23;24.44;1018;78;10000;PH;1582323447;1582365737
Maputo;32.59;-25.97;Clouds;broken clouds;stations;27.11;29.68;27;27.22;1012;74;10000;MZ;1582256306;1582302515
Marigot;-63.08;18.07;Clouds;broken clouds;stations;27.64;28.53;27;29;1016;58;10000;MF;1582281403;1582323336
Maseru;27.48;-29.32;Clouds;few clouds;stations;17.78;17.49;17.78;17.78;1014;72;NULL;LS;1582257330;1582303944
Mata-Utu;-176.17;-13.28;Clouds;overcast clouds;stations;27.99;30.55;27.99;27.99;1008;74;NULL;WF;1582393509;1582438295
Mbabane;31.13;-26.32;Rain;light rain;stations;20.76;23.01;18;24;1022;100;NULL;SZ;1582256636;1582302886
Mexico;120.72;15.06;Clouds;broken clouds;stations;23.32;25.2;22;24.44;1019;78;10000;PH;1582323531;1582365778
Minsk;27.57;53.9;Clouds;scattered clouds;stations;1;-4.77;1;1;1019;80;10000;BY;1582262292;1582298938
Mogadishu;45.34;2.04;Clouds;few clouds;stations;27.81;26.71;27.81;27.81;1010;84;NULL;SO;1582254641;1582298060
Monaco;7.42;43.73;Clouds;few clouds;stations;9.94;7.95;4.44;13;1025;76;10000;MC;1582266080;1582304822
Monrovia;-10.8;6.3;Clouds;broken clouds;stations;28.81;31.39;28.81;28.81;1008;79;NULL;LR;1582268307;1582311339
Montevideo;-56.17;-34.83;Clouds;scattered clouds;stations;18.95;10.4;18.89;19;1021;45;10000;UY;1582277050;1582324373
Moroni;43.26;-11.7;Clouds;few clouds;stations;27;31.85;27;27;1011;88;10000;KM;1582254499;1582299200
Moscow;37.62;55.75;Clear;clear sky;stations;1.43;-1.48;-1;4;1022;80;10000;RU;1582260130;1582296277
Muscat;58.59;23.61;Clouds;scattered clouds;stations;23;26.44;23;23;1016;88;10000;OM;1582252498;1582293844
Nairobi;36.82;-1.28;Clouds;few clouds;stations;19.8;17.8;16.67;22;1020;64;10000;KE;1582256534;1582300257
Nassau;-73.58;40.75;Clear;clear sky;stations;0.18;-6.68;-1.67;1.67;1032;24;16093;US;1582285263;1582324516
Naypyidaw;96.13;19.75;Clear;clear sky;stations;20.34;18.49;20.34;20.34;1018;35;NULL;MM;1582329654;1582371457
N'Djamena;15.04;12.11;Clouds;broken clouds;stations;32;27.32;32;32;1009;14;7000;TD;1582262376;1582304869
Delhi;77.22;28.67;Mist;mist;stations;14;13.43;14;14;1020;93;2500;IN;1582334653;1582375534
Niamey;2.11;13.51;Dust;dust;stations;33;27.29;33;33;1010;7;3500;NE;1582265544;1582307906
Nouakchott;-15.98;18.09;Clouds;scattered clouds;stations;23;19.51;23;23;1009;60;6000;MR;1582270105;1582312028
Nouméa;166.46;-22.28;Clear;clear sky;stations;24.8;28.13;23;26.67;1012;78;10000;NC;1582310807;1582356548
Nuuk;-51.72;64.18;Clouds;few clouds;stations;-9;-14.55;-9;-9;986;61;10000;GL;1582283058;1582316229
Oranjestad;-70.03;12.52;Clouds;broken clouds;stations;28;29.21;28;28;1013;74;10000;AW;1582282806;1582325269
Oslo;10.75;59.91;Clouds;broken clouds;stations;5.42;-3.24;3.33;7.22;991;86;10000;NO;1582267222;1582302082
Ottawa;-75.7;45.41;Clouds;few clouds;stations;-0.86;-9.03;-2;0;1025;46;24140;CA;1582286150;1582324646
Ouagadougou;-1.54;12.36;Clear;clear sky;stations;34;28.53;34;34;1009;8;6000;BF;1582266366;1582308837
Panama;-80;9;Clouds;scattered clouds;stations;32.69;32.59;32;33.33;1012;55;10000;PA;1582285035;1582327825
Papeete;-149.57;-17.53;Clouds;few clouds;stations;28.95;33.45;28.89;29;1014;70;10000;PF;1582300499;1582345752
Paramaribo;-55.17;5.87;Clouds;scattered clouds;stations;30.85;30.13;30.56;31.11;1011;52;10000;SR;1582278935;1582322008
Paris;2.35;48.85;Clouds;overcast clouds;stations;7.01;3.15;5.56;8;1030;70;10000;FR;1582267765;1582305570
Philipsburg;-63.05;18.03;Clouds;broken clouds;stations;27.63;28.52;27;29;1016;58;10000;SX;1582281394;1582323331
Plymouth;-70.83;41.83;Clouds;few clouds;stations;-1.71;-6.15;-3.33;0;1030;58;16093;US;1582284686;1582323773
